vf,RMS_PINNs,RMS_twoscale,RMS_homog
0.1,4.015195951197501e-05,4.015265059883611e-05,0.020526238740587767
0.15,3.9295312517347235e-05,3.9270201602293055e-05,0.030294350646835912
0.2,3.8535185126739625e-05,3.857228111771361e-05,0.039661265163984515
0.25,3.8097339893726796e-05,3.809849188169283e-05,0.0485729336969934
0.3,3.785291039386427e-05,3.7894389661737555e-05,0.05696514407064509
0.35,3.802522549608681e-05,3.801217519956159e-05,0.06476101251818345
0.4,3.847175215764486e-05,3.8511404892246986e-05,0.07186769559284337
0.45,3.943963522952948e-05,3.946097784027767e-05,0.07817202179990523
0.5,4.1019165131798394e-05,4.094197685467712e-05,0.08353460672472421
0.55,4.313455145656429e-05,4.3054758626148024e-05,0.0877817962666344
0.6,4.593341506937826e-05,4.593005563927238e-05,0.09069444539021963
0.65,4.975994252549116e-05,4.974822319846833e-05,0.09199197773299089
0.7,5.502866271748712e-05,5.4770138026732485e-05,0.09130923773342582
0.75,6.134266296257967e-05,6.138731079428103e-05,0.08816202259743967
0.8,7.00501273782008e-05,7.020387668996186e-05,0.08189426333773998
0.85,8.216285031883171e-05,8.21763069838075e-05,0.07159434484800012
0.9,9.873851633813253e-05,9.886040270408857e-05,0.05595726192752624
0.95,0.00012314541411827116,0.00012287513103269757,0.033046767268958895
