vf,C_eff_pred,C_eff_exact,relative_error
0.1,12.949641,12.949640287769784,7.36e-06%
0.15,13.483148,13.483146067415731,1.41e-05%
0.2,14.0625,14.0625,0.00e+00%
0.25,14.693878,14.693877551020408,6.49e-06%
0.3,15.3846035,15.384615384615387,7.44e-05%
0.35,16.1435,16.14349775784753,1.18e-05%
0.4,16.981133,16.9811320754717,0.00e+00%
0.45,17.91044,17.910447761194025,4.26e-05%
0.5,18.947361,18.94736842105263,4.03e-05%
0.55,20.111732,20.11173184357542,0.00e+00%
0.6,21.428577,21.42857142857143,2.67e-05%
0.65,22.929935,22.929936305732486,0.00e+00%
0.7,24.65754,24.657534246575345,2.32e-05%
0.75,26.666683,26.666666666666668,6.44e-05%
0.8,29.032257,29.032258064516128,6.57e-06%
0.85,31.858389,31.858407079646017,5.99e-05%
0.9,35.294147,35.29411764705882,8.65e-05%
0.95,39.560387,39.56043956043956,1.35e-04%
