total_loss,collocation_loss,interface_loss,bc_loss
2386.08447265625,6.099814414978027,2309.791259765625,0.0005800959188491106
0.002164995763450861,1.0599922006804263e-06,8.573500963393599e-06,2.2182599934694736e-07
0.00043568635010160506,9.704991725811851e-07,1.7668666259851307e-05,1.0996043897648633e-07
0.0001779708545655012,9.911532288242597e-07,6.649534043390304e-06,1.0448454190736811e-07
6.318149098660797e-05,9.754197662914521e-07,5.868612788617611e-06,3.823049610218732e-08
7.702798757236451e-05,2.1691796519007767e-06,1.1941367574763717e-06,3.32757266185979e-09
9.306327410740778e-05,2.2460713466898596e-07,1.057928329828428e-06,1.3146778599093523e-07
2.2838194126961753e-05,1.6021564874790784e-07,5.295446499076206e-06,1.6820198567302214e-08
3.8523248804267496e-05,1.8862976958189392e-07,8.964265362010337e-06,4.641128015236973e-08
2.8044474674970843e-05,1.8382540645234258e-07,2.0797499473701464e-06,6.063295643343736e-08
1.9089044144493528e-05,2.4197396442104946e-07,1.4265770005295053e-06,1.655710768488916e-08
1.4035847925697453e-05,7.595819084826871e-08,1.1822688747997745e-06,1.7953055930775008e-08
9.663857781561092e-06,9.623325780694358e-08,1.6772105482232291e-06,7.500758236744787e-09
1.623448588361498e-05,6.43100435127053e-08,4.6244185796240345e-06,1.5464838298839823e-08
7.549012025265256e-06,5.035547534504303e-09,4.2337433114880696e-07,1.5449817425405854e-08
1.128441363107413e-05,3.915567603485215e-08,3.039123726011894e-07,1.559839013509645e-08
4.992682079318911e-06,1.2785727143693748e-08,1.1291948567304644e-06,8.465875112051435e-09
4.9398249757359736e-06,3.8736857277399395e-08,1.2937059636897175e-06,1.8801271650659146e-09
2.206579893027083e-06,1.6915988609866872e-09,2.5039304318852373e-07,4.6629367034256575e-09
1.8385842395218788e-06,7.719416217355501e-09,4.446989692041825e-07,2.380740049545693e-09
1.734526108521095e-06,4.493499794477884e-09,5.677686658600578e-07,1.5426111499294848e-09
4.950700258632423e-06,4.6698791500432435e-09,2.6037600946438033e-06,4.030708655733406e-09
4.971295766154071e-07,3.20997317615479e-09,1.5225113259020873e-07,2.815263022704073e-10
1.1659597021207446e-06,7.166194304630835e-09,1.9465690570541483e-07,1.402522098459258e-09
1.362288116979471e-06,4.793681895876034e-09,2.632919517964183e-07,1.5167042066721592e-09
5.026175244893238e-07,2.6778881334621474e-09,2.631886530934935e-08,1.0907679204308351e-09
1.91856869946605e-07,7.733824691769087e-10,8.505358550792153e-08,8.711899257551892e-11
1.11268332148029e-06,5.74793590502054e-09,7.223562192848476e-09,1.0645724302094095e-09
3.7936538888061477e-07,1.1876620797934834e-09,6.148903253233584e-08,4.118893837112836e-10
4.7390670943059376e-07,3.500220557839384e-09,2.4312733160058997e-08,6.67018384969964e-10
2.07813656061262e-07,8.863570988282277e-10,7.811274826963199e-08,1.4959194993835467e-10
1.9381371885174303e-07,8.700365428104817e-10,2.5254687230358286e-09,2.6530677654790225e-10
1.6336743158262834e-07,7.750266539652273e-10,3.0623930058482074e-08,2.0047591364757977e-10
6.6585059244062e-08,2.2568144575352278e-10,2.875484739206513e-09,9.756107727243446e-11
7.743502550283665e-08,1.021551621072092e-09,1.0295853059005822e-08,1.6472379016363448e-11
6.750329362148477e-08,4.57233417794356e-10,2.1595852217615175e-08,4.877973719397133e-11
4.9333575447008116e-08,2.471123305980427e-10,2.8395440665462957e-08,9.310399673445602e-13
1.1937490285163221e-07,2.708754331948171e-10,1.1820080914048958e-08,1.4891277100304023e-10
7.226159937090415e-08,2.7832869342603317e-10,5.238911526816992e-10,4.9828231818427327e-11
3.512281310236176e-08,1.2622945744222847e-10,8.068696821794674e-09,2.662094156224981e-11
3.001357384846415e-08,2.67725480673775e-10,8.543086238432807e-09,5.167768990510524e-12
2.3712699359634826e-08,6.767425508868996e-11,2.5623059229928913e-09,4.6902946804205925e-11
2.6418895515689655e-08,2.1665466642950548e-10,3.6422775906430616e-10,2.187553090060579e-11
2.670037346774734e-08,3.211553800674949e-10,7.185363415374013e-11,1.2586875985931556e-12
6.170406408045892e-09,8.080872082594226e-11,8.562039965909207e-11,7.37257477290143e-13
2.7411058312054593e-08,5.39310748837174e-11,3.987921104453562e-11,3.302889212131177e-11
1.4446944085477753e-08,1.3340174798148752e-10,7.505551735675908e-11,8.655869424001317e-12
4.381619511661938e-09,6.486040871056531e-11,1.0721468157726122e-10,3.771755477388616e-12
6.9683787629060134e-09,6.20764759040604e-11,3.6415315207705135e-10,5.68762398289735e-12
7.433460957884108e-09,5.043603035215227e-11,4.404521192213906e-10,1.0164822109026694e-11
9.018469526722583e-09,6.184016493326894e-11,8.88676687793577e-10,6.8008185888368544e-12
7.140364743918326e-09,6.582978606672896e-11,6.492877346886416e-10,3.1263273220227816e-12
5.305738959293649e-09,4.8501869187589364e-11,9.31344779075971e-10,1.7591483825185605e-12
7.659379797075871e-09,5.479133813324211e-11,1.3219647598816664e-11,1.6636830801886049e-12
4.370472872494702e-09,4.3304079072603585e-11,9.947953572009283e-11,2.3053781106341376e-12
2.36420816257521e-09,3.7171234840149836e-11,4.437339384821826e-12,2.3700659490533127e-13
2.7034934291236823e-09,4.413507753708856e-11,1.830446905159988e-11,1.714989261714095e-12
2.4637263340565596e-09,3.7595676571910985e-11,9.373479770147242e-11,8.644630150600463e-13
3.329954312292216e-09,3.421074187826001e-11,5.241895806307184e-10,2.0817549073459674e-13
5.126939317534607e-09,3.697725806106611e-11,6.744826919202751e-11,3.926893532568698e-12
4.25932089598291e-09,3.399535861148273e-11,3.6501379696574077e-10,6.568096760917186e-13
2.997249115566092e-09,4.089671309936982e-11,5.684341886080802e-14,6.689093723366568e-15
3.0474618384346286e-09,3.401917289536094e-11,1.7895729342853883e-10,2.082015115867364e-13
3.0354436741930613e-09,3.4145505867222425e-11,5.833555860590423e-11,4.15488823901633e-13
3.585720165233397e-09,2.803433180043058e-11,2.3455015707440907e-10,4.4198672499717873e-13
2.770105478333562e-09,2.8576616767361784e-11,5.4365401069844665e-12,5.543135395136289e-13
2.923733033455278e-09,3.110254415128466e-11,5.923439516664075e-11,5.806483766024328e-13
2.5636830436326363e-09,3.131928744126711e-11,1.0880185641326534e-12,3.52586015939238e-13
1.7780055205918188e-09,3.125185527030894e-11,1.4210854715202004e-14,1.0911410663894117e-13
1.6145931258648716e-09,2.932007414635507e-11,6.625811010962934e-12,5.571255262681873e-13
1.3368542939318218e-09,3.209175633567263e-11,1.4551915228366852e-11,3.312107532682518e-14
1.5499556083042876e-09,2.5301654868470358e-11,3.993250174971763e-12,5.057759766557979e-14
2.913985275299069e-09,2.8937475679557956e-11,5.840750105789994e-11,1.403391292065237e-15
3.462925723951571e-09,2.951093883152289e-11,9.095302289097162e-11,4.7470707920105326e-14
2.021165901311406e-09,2.6813285966542644e-11,4.334310688136611e-12,6.731420976180402e-14
2.880519378578583e-09,2.869113627235187e-11,4.725997371224366e-12,2.5441454498675853e-13
2.555287537120421e-09,2.7254856357905588e-11,6.004086117172847e-13,1.7017637299332478e-13
1.7981258704224956e-09,2.68841563594302e-11,8.535394613318203e-13,5.6290042071971413e-14
1.435149554751547e-09,2.762687821566967e-11,1.5152323840084136e-11,7.244205235679146e-15
1.372065572269321e-09,2.755592282133179e-11,6.474820679613913e-13,2.5049406993105094e-14
1.249210179743443e-09,2.8397867390950182e-11,3.2798652682686225e-11,5.723893581333073e-14
1.4773918755039972e-09,2.8353781128531708e-11,3.765876499528531e-12,4.5248527147379036e-14
2.070187132829915e-09,2.8610499386294563e-11,3.359534872515724e-11,3.872076270727831e-14
1.7698231769003314e-09,2.5924528149201542e-11,4.384936858059518e-12,1.474514954580286e-14
1.749179134868939e-09,2.763583459297614e-11,1.5405454689698672e-11,5.898059818321144e-15
1.1823753087725208e-09,2.501569958124339e-11,3.552713678800501e-13,4.403595543767125e-14
3.0228013425670497e-09,2.6723189633370836e-11,3.382982782795807e-11,1.1726730697603216e-15
2.2760644480257497e-09,2.60158700138291e-11,1.5351275806096965e-11,1.869511490060205e-14
1.4608961818041166e-09,2.7864927379384063e-11,3.9257486150745535e-12,6.538172780956586e-15
1.5444500123251714e-09,2.567773424444475e-11,4.384936858059518e-12,5.809588921046327e-15
2.160306822318603e-09,2.5876703557692338e-11,1.4725998198628076e-11,1.80480630440627e-14
1.7774344218679516e-09,2.7261325141747506e-11,7.469580509678053e-13,2.2162827129079687e-14
1.2302032725841627e-09,2.8793793738213225e-11,3.552713678800501e-13,3.2977093278319103e-15
8.770051906914489e-10,2.5144813314836867e-11,1.7408297026122455e-13,1.028517548906649e-14
9.829249636439386e-10,3.147237678802206e-11,2.877698079828406e-13,1.3350431871117507e-14
