E1/E2,C_eff_pred,C_eff_exact,Rₑ (%),R1ₑ (%)
1.5,1.2499998,1.2499999999999998,1.9073486e-05,1.91e-05%
2.0,1.4285715,1.4285714285714286,0.0,0.00e+00%
2.5,1.5625001,1.5625,7.6293945e-06,7.63e-06%
3.0,1.6666679,1.6666666666666665,7.867814e-05,7.87e-05%
3.5,1.7499999,1.75,6.81196e-06,6.81e-06%
4.0,1.8181825,1.8181818181818181,3.2782555e-05,3.28e-05%
4.5,1.875,1.875,0.0,0.00e+00%
5.0,1.9230797,1.923076923076923,0.0001487732,1.49e-04%
5.5,1.9642854,1.9642857142857142,1.8206509e-05,1.82e-05%
6.0,2.0000014,1.9999999999999998,7.1525574e-05,7.15e-05%
6.5,2.03125,2.03125,0.0,0.00e+00%
7.0,2.0588243,2.0588235294117645,3.474099e-05,3.47e-05%
7.5,2.0833333,2.0833333333333335,0.0,0.00e+00%
8.0,2.1052628,2.1052631578947367,2.2649765e-05,2.26e-05%
8.5,2.1250002,2.125,1.1219698e-05,1.12e-05%
9.0,2.1428623,2.142857142857143,0.00024477643,2.45e-04%
9.5,2.15909,2.1590909090909087,4.4170174e-05,4.42e-05%
10.0,2.1739135,2.173913043478261,2.193451e-05,2.19e-05%
