total_loss,collocation_loss,interface_loss,bc_loss
23.74385643005371,0.0017767379758879542,23.577178955078125,0.00029974846984259784
7.776728307362646e-05,1.3160384071397857e-07,4.5784764779455145e-07,7.53375104523002e-08
1.832254019973334e-05,9.176711834868456e-09,1.9754091340473678e-07,5.520035628592268e-08
7.923638804641087e-06,4.885922777475571e-09,2.3603844567787746e-07,6.169839394942755e-08
3.780688530241605e-06,1.2767911172772983e-08,3.3514709230075823e-07,5.764081123516007e-08
1.2479893030103995e-06,1.1508895170209144e-08,1.5594036995025817e-07,2.907608731561595e-08
1.8917285160569008e-06,8.083056890484386e-09,4.5109109692020866e-07,7.033017368485162e-08
9.274758667743299e-07,4.127512553964152e-09,2.4388077690673526e-07,3.9783621730293817e-08
6.703983217448695e-07,1.1651518638799985e-09,1.0803712058304882e-07,5.687610382665298e-08
4.5467052700587374e-07,2.2444148761735505e-09,1.2255038939201768e-07,1.703292973331827e-08
2.0330125494183449e-07,2.366322693347911e-09,2.260961196043354e-08,6.2599294636811464e-09
4.1003039541465114e-07,1.1117996523424267e-09,8.232584036704793e-08,3.040718610236581e-08
2.9421292424558487e-07,6.89058143876764e-10,1.3482816996202018e-07,8.569859488716247e-09
1.987249476087527e-07,3.1478357698233594e-09,1.1111773723371243e-08,1.7548976716241782e-09
2.9122884370735846e-07,3.0161149133789422e-09,1.2214300681989698e-08,2.4867898851255177e-09
1.291360831601196e-07,1.4816403659523303e-09,4.78516515300953e-09,3.1834301861266567e-09
2.0036475234519457e-07,2.40551045749271e-09,1.2626949263960796e-08,3.524534886167885e-09
3.9510752003479865e-08,2.667036036463344e-10,1.3245710306364344e-08,4.659885255442475e-10
6.397611684860749e-08,1.825230799834543e-10,1.4001977355349027e-08,4.044158785632135e-09
7.076580743614613e-08,6.855833678542922e-10,4.96420682338794e-09,1.3893394212871613e-09
5.811042314007864e-08,2.017801759013338e-10,1.145052763718013e-08,3.0002555995167768e-09
2.8203519519820475e-08,2.8855681732942173e-10,3.145239624302576e-09,1.0204024292193026e-09
8.236857418353338e-09,1.1208933781148289e-10,6.052260914657381e-10,1.3993456393635029e-10
2.986092084711345e-08,1.960036855042091e-10,4.191947233778137e-09,7.938825152820073e-10
1.2860107645451535e-08,1.583163322660397e-10,1.030219465292248e-09,2.1231394420340166e-10
1.6373491007470875e-08,1.1945276712221897e-10,9.173906079240624e-11,6.280282960346995e-10
2.063350379444273e-08,1.0390290017259218e-10,3.794529135348057e-09,8.985853172660541e-10
1.2378107427934992e-08,7.031042414951116e-11,2.0707213721493645e-09,6.114558859238173e-10
8.417941899097059e-09,1.101790117474799e-10,1.8283774494420868e-10,1.2542780702951006e-10
6.056447343638638e-09,6.265752500178579e-11,2.666746823365429e-10,1.0641661163379723e-11
5.821751525303398e-09,5.002510211626898e-11,6.970459764943371e-10,1.3708640125842386e-11
6.5873537735683385e-09,6.495260579386652e-11,4.937499298307557e-10,8.861358868905711e-11
5.8077112008447784e-09,4.319559987475685e-11,6.40697273013302e-10,8.198600826014868e-11
7.008340574543581e-09,6.521607559539788e-11,8.574012611006765e-10,2.164501078372183e-10
5.868115771079374e-09,4.062689767936334e-11,8.023164355108747e-10,2.550710198612194e-10
5.622257326365343e-09,4.648934015527573e-11,5.254472412730138e-10,6.832735766071352e-11
5.0591042466408e-09,5.186590740224872e-11,4.085087823568756e-10,3.712122970123133e-11
6.509625727346702e-09,6.380741768285958e-11,2.1301005403984163e-10,2.8245020905481866e-11
3.898017908454676e-09,3.424413530517256e-11,3.3097879992283197e-10,5.118753337862714e-11
4.933237818249836e-09,3.654676561382075e-11,5.602496244705435e-10,1.2834119877958017e-10
3.168777684692259e-09,3.546238996898765e-11,1.6359891219508427e-10,2.5597822472800402e-11
