vf,RMS_PINNs,RMS_twoscale,RMS_homog
0.1,4.558861381225894e-05,4.558861721047709e-05,0.0003778938514279964
0.15,4.741930703971086e-05,4.741907935884062e-05,0.0005715284726172227
0.2,4.941066725057405e-05,4.94115796214755e-05,0.0007572026778291374
0.25,5.1588128017156745e-05,5.158809018068608e-05,0.0009337078504518971
0.3,5.397362729341007e-05,5.397461632997303e-05,0.0010997058099227344
0.35,5.660284960212614e-05,5.660236881866347e-05,0.0012536220644414138
0.4,5.950872292756285e-05,5.95093440205947e-05,0.001393565760293657
0.45,6.274111730608122e-05,6.274162873850492e-05,0.001517237352786299
0.5,6.635794489575839e-05,6.635605689677356e-05,0.0016218075214586107
0.55,7.042557703554819e-05,7.042368680524097e-05,0.001703753153179955
0.6,7.503474342419776e-05,7.503442486571e-05,0.0017586299009424158
0.65,8.030354709070356e-05,8.030331053469168e-05,0.001780750109455496
0.7,8.638648386081419e-05,8.638064530714711e-05,0.0017627150250926911
0.75,9.346538516425684e-05,9.346615199090669e-05,0.0016947213907729643
0.8,0.00010182749655469378,0.00010183122065165874,0.0015635046590797908
0.85,0.00011185374811356288,0.00011185433530878672,0.0013506883629554004
0.9,0.00012407729200156144,0.00012407947847408856,0.001030190066350604
0.95,0.0001393225724675871,0.00013931784141795156,0.0005650209273355949
