total_loss,collocation_loss,interface_loss,bc_loss
981.4114990234375,0.0004944946267642081,974.4232788085938,0.0016056986059993505
0.0041272458620369434,1.938759339736862e-07,3.599797491915524e-05,2.720355496421689e-07
7.736813131486997e-05,4.1861621724592624e-08,1.3521198525268119e-05,6.09479755553366e-09
0.00035870715510100126,2.5241345724680286e-07,1.6748315829318017e-05,9.524512734060409e-08
0.00015738100046291947,1.5098170536020916e-07,1.4821916920482181e-05,5.878565190187146e-08
6.0876773204654455e-05,1.116284575886084e-08,2.700481127249077e-05,2.3231665480238917e-08
4.3793032091343775e-05,1.0183173415612146e-08,2.0818154666812916e-07,1.9164188458375975e-08
3.2901312806643546e-05,1.1966435842225565e-08,5.063138814875856e-06,7.494369569371884e-09
1.8349968740949407e-05,1.193434240320812e-08,2.658670723576506e-07,4.810511988750932e-10
1.9374117982806638e-05,5.848882711489978e-09,9.48754674823249e-09,8.902619086370578e-09
4.006367453257553e-05,2.6055797519575208e-08,5.246351406640315e-07,3.927492553401635e-09
3.582459976314567e-05,9.325852978747662e-09,8.155426257872023e-06,3.756932098752941e-09
2.3017422790871933e-05,3.5037908130419737e-09,7.059322797431378e-06,3.884862209702078e-09
2.810751902870834e-05,1.4176305684898693e-09,1.5982965351213352e-07,7.051800032797928e-09
1.268864161829697e-05,4.458137747853641e-10,2.0891736767225666e-06,4.886361537614903e-09
8.04662977316184e-06,2.4223076877660787e-09,2.40666508943832e-07,1.6284567028179708e-09
5.51654738956131e-06,9.9209485071583e-10,3.79448508169844e-08,2.570990975669929e-09
9.46515501709655e-06,2.787399644432753e-09,8.08648678685131e-07,1.1275412825639819e-09
5.724828497477574e-06,2.418609201804145e-10,4.53858973514798e-07,4.435863232288284e-09
1.4095024880589335e-06,2.2398810584078888e-10,1.1808204192220728e-08,9.362708386362328e-10
1.3257675846034545e-06,6.376028177657034e-11,6.059739234842709e-07,5.412981729513433e-10
8.376847517865826e-07,3.737121029301349e-11,2.4044604174378037e-07,3.645523050099797e-10
4.176940819888841e-06,5.778051370697312e-10,2.053257617262716e-07,2.7591391393855247e-09
1.4660743090644246e-06,4.589766344764712e-10,1.4406865034288785e-07,5.053311658009818e-10
2.308786406501895e-06,7.33505062244788e-11,1.1418981671340589e-07,1.80228920676484e-09
1.2476446045184275e-06,9.014342050583934e-11,4.2577201497806527e-07,5.524803392553679e-10
1.0407613899587886e-06,7.103093807581118e-11,1.9149931418382948e-08,4.928558672290251e-10
1.5246569091686979e-06,2.579224334109398e-11,2.970565304849515e-08,1.0254094240380596e-09
3.6896551591780735e-07,1.1333238514321664e-10,2.909845520093768e-08,1.1227577895178698e-10
1.6985980266781553e-07,4.0358445752008976e-11,3.498491452091912e-08,3.662111239255417e-11
6.186467089719372e-07,5.067176539474971e-11,6.801002427891945e-08,3.5430536282632374e-10
2.720535690059478e-07,1.3382248087445703e-10,1.7539747432238073e-11,1.4483390615299685e-13
3.510587021082756e-07,8.270630708073767e-11,2.3604735943649757e-09,7.958213255054858e-11
2.401353640379966e-07,3.077076787816324e-11,8.207923940517503e-08,6.655523354659465e-11
1.6108472777887073e-07,2.0142085915830776e-11,1.641100055849165e-08,8.294807896103151e-11
1.2527996773314953e-07,2.423380419946941e-11,2.1315727849469113e-08,4.553948537711072e-11
2.4917246932432136e-08,2.743332470911408e-12,3.083428623540385e-09,1.0954711096577974e-11
1.7386985007306066e-07,1.551248712816644e-11,3.061887454691714e-08,6.164483506987395e-11
6.0167600679506e-08,2.2490698539656684e-11,3.6165845873625813e-09,5.250494049952037e-12
8.983121801975358e-08,7.817654509856276e-12,5.968615823803702e-09,4.9129533774561196e-11
5.0436476328741264e-08,4.116344418103601e-12,1.0116407711535658e-09,3.742606224932388e-11
6.390383333609861e-08,8.27479924858654e-12,6.61234622612028e-09,1.6012486475647236e-11
3.4565353246307495e-08,1.544908645456644e-11,1.3939909226934333e-09,3.352102449782901e-12
4.5914909208022436e-08,1.6753549936243672e-11,2.3877682053807803e-09,6.908475527755975e-12
1.708893293539404e-08,8.227431756713255e-12,1.6050449858084903e-09,2.4732824295548017e-12
1.980076369534345e-08,6.144141185410179e-13,1.0725664800759205e-10,1.5901734790046973e-11
9.55178780515098e-09,3.902897427986163e-13,4.848377699318007e-09,1.7567286601100074e-12
1.5865172287021778e-08,3.348855264276307e-12,8.273384199952716e-10,3.963269816498194e-12
1.6047959405796064e-08,1.909303878194768e-12,2.3896300493930767e-09,7.259214496874167e-12
3.9598213597002996e-09,1.247611497619261e-12,1.3133159004752315e-09,1.7174510511669405e-13
1.808816563197979e-08,5.190103988944594e-13,2.9606326279463246e-09,1.1289747782472492e-11
1.266043714309717e-09,7.254224890056171e-13,3.879785381855072e-12,7.34379530385916e-14
4.111694096309293e-09,2.3000210676998867e-12,1.4646062140855065e-12,6.663938064560559e-13
