total_loss,collocation_loss,interface_loss,bc_loss
11.305837631225586,0.010332196950912476,10.803162574768066,0.02457062155008316
4.5592196329380386e-06,3.587591024256653e-08,7.266130523930769e-07,1.7530850016100885e-07
1.2200664059491828e-05,3.826400885031944e-08,2.2375841126631713e-06,6.374040708578832e-07
8.036555527723976e-07,3.86027210197426e-09,1.2646503932955966e-07,3.256690561670439e-08
1.9940646325267153e-06,7.653976119570416e-09,8.704360254796484e-08,1.0934498106962565e-07
4.823630206374219e-07,1.5526664398635148e-09,9.095160891092746e-08,2.7983549699683863e-08
2.1116908044405136e-07,4.740208781051081e-10,2.752426908614325e-08,8.24757417916544e-09
9.711992561278748e-07,3.4085942401951286e-10,6.549915099185455e-08,1.0022915120089237e-07
7.377276460829307e-07,1.37691080759339e-09,2.5670857439763495e-08,3.1861020488577196e-08
6.146680107121938e-07,1.347573830301485e-09,1.4195387620929978e-07,1.7566303966987107e-08
3.6319207197266223e-07,1.2818660022340111e-10,1.058217691252139e-07,2.2954468548164186e-08
5.364952357922448e-07,5.054197060871957e-10,1.393858042320062e-07,2.928658560108488e-08
2.731911479258997e-07,5.83847067914256e-11,8.272049711877116e-08,2.3181698338703427e-08
1.2810690463993524e-07,9.758181762631324e-11,1.5029236521968414e-08,1.0945701234277294e-08
1.6482967168940377e-07,1.8605120222225935e-10,3.4036844454021775e-08,7.867523521554176e-09
9.200508799267482e-08,1.8741640184227748e-10,5.551670234638095e-09,2.8259228290750116e-09
9.01735575098428e-08,1.605530847159642e-10,9.346778462315797e-09,5.4037112562355105e-09
5.4824756290372534e-08,9.116807309084152e-11,1.1341185768287687e-08,2.310204694211393e-09
3.975200257855249e-08,6.910799016379698e-11,8.464127176921465e-10,3.3203892968458604e-09
7.478577401798248e-08,2.795346766559792e-11,2.6428015331703136e-08,6.427969712063941e-09
2.8704121746159217e-08,3.02347244462986e-11,6.16209039350224e-09,2.064731496886907e-09
6.154094478461047e-08,1.3702414203287105e-10,7.562906745306464e-09,1.802066718070705e-09
1.216978073870223e-08,2.266127910321991e-11,2.2308350722255454e-09,5.611044406883536e-10
2.7311914507777146e-08,1.488595184617747e-11,9.924665533844745e-09,1.4275186588363908e-09
2.513454511188229e-08,1.0745287472302412e-11,9.948028178996537e-09,1.3236146623185618e-09
3.1555371649005792e-09,4.260591445620632e-12,5.7272941944575e-10,2.0958065838350137e-10
1.7055894474538036e-08,1.5686811658671695e-12,5.910990807933558e-09,1.5237201500539754e-09
2.0888649032713147e-08,2.9510657806319784e-11,3.6703937666970887e-09,9.119878185970265e-10
2.7805411306758288e-09,3.753390827310188e-12,6.048423983884277e-10,1.2224336820576553e-10
4.078584137090502e-09,6.422413816042916e-12,4.289839594662226e-10,1.814236399999558e-10
4.663743169430745e-09,1.9184497740409867e-12,1.4602727915757896e-09,3.092463507492482e-10
2.7652049539028667e-09,4.477231953237126e-12,2.4571367163161995e-10,6.903932286972392e-11
5.801481073319792e-09,3.671880507982728e-12,1.5057333158097208e-09,4.271112907794361e-10
6.680609399012383e-09,5.6304084658509446e-12,1.126100102055716e-09,2.913080332511697e-10
1.583741582322773e-09,1.876806652797991e-12,2.815632171859761e-10,6.81770889743305e-11
1.4466567943571818e-09,2.009565474095365e-12,2.7966340354623753e-10,7.166371662759019e-11
1.4328078723480075e-09,1.2856963757523765e-12,2.1233237390561044e-10,8.869333045780081e-11
4.3291184526061954e-10,7.753891387470013e-13,9.230305408891581e-11,2.557260826707708e-12
1.3462451153856136e-09,2.873721768360815e-13,2.2142288003124122e-10,9.705396902814911e-11
1.2086589507021017e-09,9.038160844743182e-13,2.532312137759618e-10,8.717452454343189e-11
3.771358503268374e-10,4.3252380843572524e-13,7.566658410951277e-11,1.8950962327179965e-11
2.951684729968207e-10,9.56967794937813e-13,1.956834694283316e-11,7.716891362030687e-12
2.507289098563348e-10,7.373732700821645e-13,2.2215118633539532e-11,1.7796584518559033e-12
3.8230474341816034e-10,6.248632253985642e-13,6.859668388869977e-11,1.6909135550080556e-11
4.0040859516921046e-10,1.6062822458858678e-13,1.0302869668521453e-10,3.189744302023456e-11
4.755899007946596e-10,9.697763425631223e-13,5.88977755455744e-11,1.4870474643324805e-11
2.7256727430646777e-10,1.725997410316829e-13,6.325340251578382e-11,2.0227146346751823e-11
8.506434445720856e-11,1.3742732808946084e-13,1.1624479157035239e-11,3.189870676628681e-12
2.3257092085504638e-10,2.3483997949394486e-13,3.6131986291820795e-11,1.0319391174906656e-11
8.789696748223719e-11,1.4212800858101615e-13,1.304645280697514e-11,6.528532055238845e-13
1.2949910588311297e-10,1.662324520656372e-13,1.7714718580918998e-11,5.1380345290896745e-12
1.282906419985963e-10,1.6673386846535743e-13,3.12070369545836e-11,3.699080104724306e-12
1.172302532825853e-10,2.4014742017880453e-13,1.4424905714349734e-11,1.218716533940567e-12
6.155072979074916e-11,1.9916295175559373e-13,1.4210854715202004e-12,4.9073592411907896e-14
7.262267176511017e-11,1.54014835281914e-13,4.356515148629114e-12,7.578009400543984e-13
6.864885049306935e-11,1.3516455749790213e-13,8.881784197001252e-12,3.0783188498251235e-13
8.535227385975119e-11,1.448569996592708e-13,9.671374812114664e-12,2.8088859363450958e-12
8.46476014282338e-11,1.7664491288975348e-13,1.155697759713803e-11,2.663926804841177e-12
5.2657985610826685e-11,1.6445661022226887e-13,6.554756737386924e-12,1.1521842507855595e-12
4.26422196164733e-11,1.4123668597501582e-13,2.842170943040401e-14,1.2435929022669434e-13
4.211737555936956e-11,1.4241080916518184e-13,1.5489831639570184e-12,7.113168561112548e-13
3.280129293181666e-11,1.2042778341388172e-13,1.2789769243681803e-13,1.756650380713154e-13
5.880000653046835e-11,1.1917726462813694e-13,5.46052092431637e-12,1.4269713882741897e-12
3.94002053205611e-11,1.0612061088818153e-13,3.6415315207705135e-12,9.93501288182319e-13
5.217384510536327e-11,1.2251954821778516e-13,1.4717116414431075e-12,5.761086052658015e-13
3.3251706943460135e-11,1.1052880751491814e-13,1.0302869668521453e-13,9.194251263111575e-14
4.0977575499479e-11,1.1587605874829876e-13,5.684341886080801e-13,1.1510345628018559e-12
2.4594420250378946e-11,1.0616443976100426e-13,2.779998453661392e-13,1.1696936821903314e-13
4.202303782729899e-11,1.062357192775816e-13,1.0880185641326534e-12,1.17652849268568e-13
4.0721016836275936e-11,1.1797015458687304e-13,2.0685675394815917e-12,3.441123254399603e-13
3.5663322989210045e-11,1.3059834518078933e-13,8.615330671091215e-14,3.268652709609299e-14
3.268003576084588e-11,1.182559909371217e-13,2.353672812205332e-13,1.9755898306161868e-13
4.232843589524471e-11,1.133070281480672e-13,1.2727596754302795e-12,4.135971079510803e-13
1.986218307881149e-11,1.0457272255157829e-13,7.105427357601002e-14,6.093216209368535e-16
2.956581507396194e-11,1.0841514860339407e-13,2.4158453015843406e-13,4.4121390568863106e-14
3.290996294924575e-11,1.1773195536957798e-13,1.509903313490213e-14,4.9964372916821986e-14
3.1511120102134527e-11,1.0353477515427645e-13,1.4210854715202004e-14,8.285473002134225e-15
3.180525287582725e-11,1.2076902249514437e-13,7.682743330406083e-13,5.96419615084276e-14
3.3612324729093146e-11,1.1352853742816957e-13,1.3589129821411916e-13,1.5530111918682366e-15
4.285652041580157e-11,1.380990590979514e-13,3.197442310920451e-14,8.063385029122294e-14
3.0368051823215225e-11,1.0756709244033949e-13,1.4210854715202004e-13,9.255530369900455e-14
2.8647390015734686e-11,1.1766950532444281e-13,1.6431300764452317e-13,6.939067376254826e-14
2.8919384248426994e-11,1.0692525153049165e-13,8.881784197001252e-14,1.9144841961749037e-14
3.4487121491899586e-11,9.592169045819984e-14,1.1368683772161603e-13,4.175219198154778e-14
0.015201582573354244,2.0395667793549066e-11,3.9879211044535623e-13,1.5779261577919534e-13
0.00029513303888961673,1.366629864829605e-10,2.220446049250313e-14,7.600330954871115e-13
0.0007614951464347541,2.767842621764771e-10,1.6431300764452317e-13,4.950729496494555e-12
0.0002655184653121978,4.1538628092752106e-10,1.6431300764452317e-13,1.095996904343366e-11
0.00014612737868446857,4.867445890788247e-10,2.5934809855243657e-13,1.2226429937922667e-11
1.1343098776706029e-05,4.3878550792797455e-10,5.773159728050814e-14,1.0542245895694968e-11
6.875561666674912e-06,2.0430994396303248e-10,1.0036416142611415e-13,7.70516636605656e-12
5.305216177475813e-07,3.684579030771573e-11,2.220446049250313e-14,8.180185695483289e-12
1.065152673618286e-06,2.3112669547339926e-13,1.2789769243681803e-13,4.294377787400494e-12
5.803595968245645e-07,1.4293472275998115e-13,1.9984014443252818e-13,6.724263507118522e-12
1.6194108809486352e-07,1.3659978367625697e-13,1.5987211554602254e-13,6.392845020714022e-12
0.13188199698925018,2.8304986392918563e-12,2.282618538629322e-13,7.918769806547488e-12
0.01306171528995037,1.2975676956517024e-11,6.483702463810914e-14,1.2403538265925995e-11
0.008983897976577282,3.0798797540088074e-11,1.2789769243681803e-13,2.2618417555575476e-11
0.10405422747135162,4.076659496088375e-11,6.483702463810914e-14,2.248160164974866e-11
0.009940126910805702,5.971449029695819e-11,1.7763568394002505e-14,2.4710941626260308e-11
